code,name,kana,market,industry,kana
1976,明星工業,メイセイコウギョウ,東証プライム,建設業,メイセイコウギョウ
1979,大氣社,タイキシャ,東証プライム,建設業,タイキシャ
1980,ダイダン,ダイダン,東証プライム,建設業,ダイダン
1982,日比谷総合設備,ヒビヤソウゴウセツビ,東証プライム,建設業,ヒビヤソウゴウセツビ
2001,ニップン,ニップン,東証プライム,食料品,ニップン
2002,日清製粉グループ本社,ニッシンセイフングループホンシャ,東証プライム,食料品,ニッシンセイフングループホンシャ
2004,昭和産業,ショウワサンギョウ,東証プライム,食料品,ショウワサンギョウ
2053,中部飼料,チュウブシリョウ,東証プライム,食料品,チュウブシリョウ
2060,フィード・ワン,フィード・ワン,東証プライム,食料品,フィード・ワン
2108,日本甜菜製糖,ニッポンテンサイセイトウ,東証プライム,食料品,ニッポンテンサイセイトウ
2109,ＤＭ三井製糖,ＤＭミツイセイトウ,東証プライム,食料品,ＤＭミツイセイトウ
2117,ウェルネオシュガー,ウェルネオシュガー,東証プライム,食料品,ウェルネオシュガー
2120,ＬＩＦＵＬＬ,ＬＩＦＵＬＬ,東証プライム,サービス業,ＬＩＦＵＬＬ
2121,ＭＩＸＩ,ＭＩＸＩ,東証プライム,情報・通信業,ＭＩＸＩ
2124,ジェイエイシーリクルートメント,ジェイエイシーリクルートメント,東証プライム,サービス業,ジェイエイシーリクルートメント
2127,日本Ｍ＆Ａセンターホールディングス,ニホンＭ＆Ａセンターホールディングス,東証プライム,サービス業,ニホンＭ＆Ａセンターホールディングス
212A,フィットイージー,フィットイージー,東証プライム,サービス業,フィットイージー
2130,メンバーズ,メンバーズ,東証プライム,サービス業,メンバーズ
2146,ＵＴグループ,ＵＴグループ,東証プライム,サービス業,ＵＴグループ
2148,アイティメディア,アイティメディア,東証プライム,サービス業,アイティメディア
2153,Ｅ・Ｊホールディングス,Ｅ・Ｊホールディングス,東証プライム,サービス業,Ｅ・Ｊホールディングス
2154,オープンアップグループ,オープンアップグループ,東証プライム,サービス業,オープンアップグループ
2157,コシダカホールディングス,コシダカホールディングス,東証プライム,サービス業,コシダカホールディングス
2163,アルトナー,アルトナー,東証プライム,サービス業,アルトナー
2168,パソナグループ,パソナグループ,東証プライム,サービス業,パソナグループ
2170,リンクアンドモチベーション,リンクアンドモチベーション,東証プライム,サービス業,リンクアンドモチベーション
2175,エス・エム・エス,エス・エム・エス,東証プライム,サービス業,エス・エム・エス
2181,パーソルホールディングス,パーソルホールディングス,東証プライム,サービス業,パーソルホールディングス
2198,アイ・ケイ・ケイホールディングス,アイ・ケイ・ケイホールディングス,東証プライム,サービス業,アイ・ケイ・ケイホールディングス
2201,森永製菓,モリナガセイカ,東証プライム,食料品,モリナガセイカ
2206,江崎グリコ,エザキグリコ,東証プライム,食料品,エザキグリコ
2207,ｍｅｉｔｏ,ｍｅｉｔｏ,東証プライム,食料品,ｍｅｉｔｏ
2209,井村屋グループ,イムラヤグループ,東証プライム,食料品,イムラヤグループ
2211,不二家,フジヤ,東証プライム,食料品,フジヤ
2212,山崎製パン,ヤマザキセイパン,東証プライム,食料品,ヤマザキセイパン
2217,モロゾフ,モロゾフ,東証プライム,食料品,モロゾフ
2220,亀田製菓,カメダセイカ,東証プライム,食料品,カメダセイカ
2222,寿スピリッツ,コトブキスピリッツ,東証プライム,食料品,コトブキスピリッツ
2229,カルビー,カルビー,東証プライム,食料品,カルビー
